Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2021-05-17,Low Price,364.5,1Y
Goldman Sachs,GS,2021-05-18,Low Price,364,1Y
Goldman Sachs,GS,2021-05-19,Low Price,353.929993,1Y
Goldman Sachs,GS,2021-05-20,Low Price,353.350006,1Y
Goldman Sachs,GS,2021-05-21,Low Price,360.51001,1Y
Goldman Sachs,GS,2021-05-24,Low Price,365.51001,1Y
Goldman Sachs,GS,2021-05-25,Low Price,364.089996,1Y
Goldman Sachs,GS,2021-05-26,Low Price,361.910004,1Y
Goldman Sachs,GS,2021-05-27,Low Price,367.299988,1Y
Goldman Sachs,GS,2021-05-28,Low Price,368.26001,1Y
Goldman Sachs,GS,2020-06-01,Opening Price,197.309998,1Y
Goldman Sachs,GS,2020-06-02,Opening Price,203.770004,1Y
Goldman Sachs,GS,2020-06-03,Opening Price,208.490005,1Y
Goldman Sachs,GS,2020-06-04,Opening Price,208.789993,1Y
Goldman Sachs,GS,2020-06-05,Opening Price,222,1Y
Goldman Sachs,GS,2020-06-08,Opening Price,220.020004,1Y
Goldman Sachs,GS,2020-06-09,Opening Price,215.740005,1Y
Goldman Sachs,GS,2020-06-10,Opening Price,217.389999,1Y
Goldman Sachs,GS,2020-06-11,Opening Price,204.699997,1Y
Goldman Sachs,GS,2020-06-12,Opening Price,200.619995,1Y
Goldman Sachs,GS,2020-06-15,Opening Price,195.729996,1Y
Goldman Sachs,GS,2020-06-16,Opening Price,214.979996,1Y
Goldman Sachs,GS,2020-06-17,Opening Price,210,1Y
Goldman Sachs,GS,2020-06-18,Opening Price,203.990005,1Y
Goldman Sachs,GS,2020-06-19,Opening Price,207.050003,1Y
Goldman Sachs,GS,2020-06-22,Opening Price,200.990005,1Y
Goldman Sachs,GS,2020-06-23,Opening Price,206.5,1Y
Goldman Sachs,GS,2020-06-24,Opening Price,202.339996,1Y
Goldman Sachs,GS,2020-06-25,Opening Price,197.860001,1Y
Goldman Sachs,GS,2020-06-26,Opening Price,199,1Y
Goldman Sachs,GS,2020-06-29,Opening Price,191.380005,1Y
Goldman Sachs,GS,2020-06-30,Opening Price,193.839996,1Y
Goldman Sachs,GS,2020-07-01,Opening Price,198.880005,1Y
Goldman Sachs,GS,2020-07-02,Opening Price,202.5,1Y
Goldman Sachs,GS,2020-07-06,Opening Price,201.339996,1Y
Goldman Sachs,GS,2020-07-07,Opening Price,205.5,1Y
Goldman Sachs,GS,2020-07-08,Opening Price,199.539993,1Y
Goldman Sachs,GS,2020-07-09,Opening Price,202.110001,1Y
Goldman Sachs,GS,2020-07-10,Opening Price,196.869995,1Y
Goldman Sachs,GS,2020-07-13,Opening Price,209,1Y
Goldman Sachs,GS,2020-07-14,Opening Price,211.429993,1Y
Goldman Sachs,GS,2020-07-15,Opening Price,224.369995,1Y
Goldman Sachs,GS,2020-07-16,Opening Price,213.509995,1Y
Goldman Sachs,GS,2020-07-17,Opening Price,214.899994,1Y
Goldman Sachs,GS,2020-07-20,Opening Price,210.729996,1Y
Goldman Sachs,GS,2020-07-21,Opening Price,212.25,1Y
Goldman Sachs,GS,2020-07-22,Opening Price,210.5,1Y
Goldman Sachs,GS,2020-07-23,Opening Price,205.100006,1Y
Goldman Sachs,GS,2020-07-24,Opening Price,203,1Y
Goldman Sachs,GS,2020-07-27,Opening Price,200.100006,1Y
Goldman Sachs,GS,2020-07-28,Opening Price,201.910004,1Y
